ligne,C14_FAM,C14_COUPAENF,C14_FAMMONO,C14_COUPSENF,C14_NE24F0,C14_NE24F1,C14_NE24F2,C14_NE24F3,C14_NE24F4P,percent_fammono,percent_fam3enf
Bougainville,1092.4853210253825,414.939015549776,376.53506797864173,301.0112374969649,373.4131398144108,247.3509683496269,252.3222443675153,117.75030280559398,101.64866568823564,34.46591553516108,20.082555277530556
National,1470.9701495652903,707.4951399651973,518.807661783426,244.66734781666693,344.7393923830293,299.0373743371599,290.3035032339739,263.1203595874569,273.7695200236703,35.269761384127825,36.49903295249003
Désirée Clary,1879.1654830724133,652.0459350114139,632.2620934557106,594.8574546052888,799.8480630383648,437.8285638534237,306.1428205588699,203.1575815772132,132.18845404454163,33.64589756203746,17.845476550232718
Joliette,1839.5817355038976,763.8673895719585,467.1725633656392,608.5417825662998,696.0115685525445,524.7605367727309,393.81205948489014,174.34062843315843,50.656942260573544,25.395586091621606,12.230909143708187
Jules Guesde,2047.9357801122196,890.8662709463558,619.5054737364411,537.5640354294225,745.4695572678206,458.2848294470484,443.67782307107416,252.77529902126332,147.72827130501304,30.25023927764446,19.556451633670378
Saint-Charles,1921.7982310775817,783.1414956808312,544.8328221817167,593.8239132150337,681.7401998242093,591.8116088081538,302.5807683206062,204.48620557201613,141.17944855259643,28.350157335519068,17.986573644143306
Noailles,1766.4173815922845,632.5449808320277,551.8585671696273,582.0138335906297,691.540043418204,506.7448602149352,322.0856161006025,151.06215284900435,94.98470900953863,31.241685737499413,13.929146328754495
Notre-Dame-du-Mont - Cours Julien,1616.4061814045626,556.9006321754503,415.03920888744847,644.4663403416637,710.2240986619576,506.7239725273233,292.2800631080017,80.87053160038064,26.30751550689928,25.67666553507013,6.630638285121408
Castellane,3645.608628042316,1279.8301816743722,811.4219772773471,1554.3564690905973,1790.8950007111416,1032.7200865554173,585.2337290671304,171.6047766090987,65.15503509952794,22.257517470082323,6.4943836781450175
Périer,2936.1421017344387,1232.1242232871077,502.1039487797766,1201.9139296675544,1378.8640382964945,736.9509109368549,588.9020130751651,180.48054413258913,50.94459529333497,17.100805457718604,7.881946152715721
Rond-point du Prado,3173.4487222056714,1140.9452601598111,642.5957820840069,1389.9076799618535,1637.1722559389143,774.7752034333619,571.7402013772286,127.21551430069596,62.545547155470615,20.249130782783773,5.9796479498264965
Sainte-Marguerite Dromel,1919.8077889470246,772.1132849753998,464.3271518691576,683.3673521024673,828.5520875441548,525.1829407038379,398.4110244768059,111.98248924247305,55.67924697975325,24.18612709785033,8.733256380535122
